episode,reward,epsilon,Max Future Q-value,Action,State
301,-301,0.8474134774356293,-0.6799729095041803,Daignose for heartRate,Non ideal SpO2 and FiO2
302,0,0.8472439947401422,-0.6883069896808918, , 
303,-15,0.8470745459411942,-0.011838615708896327, ,Non ideal SpO2 and FiO2
304,-200,0.846905131032006,-2.883009046453782,Daignose for heartRate,Non ideal heartRate
305,-150,0.8467357500057997,-0.25963279164997566,Daignose for heartRate, 
306,-328,0.8465664028557985,-0.8791081370250966,Daignose for heartRate,Non ideal ArterialpH level
307,-5,0.8463970895752274,-0.33762411856656094,Daignose for ArterialpH level,Non ideal ArterialpH level
308,-459,0.8462278101573124,-0.6956931768316057,Daignose for ArterialpH level,Non ideal heartRate
309,-19,0.846058564595281,-1.2443068614186688, , 
310,-200,0.8458893528823619,-1.1585304408695904,Daignose for SpO2 and FiO2,Non ideal SpO2 and FiO2
311,-434,0.8457201750117854,-0.35220123167271034,Daignose for heartRate, 
312,-200,0.8455510309767831,-1.4714826150325533,Daignose for SpO2 and FiO2,Non ideal ArterialpH level
313,-18,0.8453819207705877,-0.7216739691319631,Daignose for heartRate,Non ideal Maintain heartRate
314,-374,0.8452128443864336,-0.054011067516067435,Daignose for SpO2 and FiO2,Non ideal SpO2 and FiO2
315,-9,0.8450438018175563,-0.6883069896808918,Daignose for ArterialpH level,Non ideal ArterialpH level
316,-2,0.8448747930571928,-2.6308938709717196,Daignose for ArterialpH level,Non ideal SpO2 and FiO2
